[s],CH1[V],CH2[V]
-1.0351E-01,-6.100E+00,2.191E-14
-1.0347E-01,-5.900E+00,2.191E-14
-1.0343E-01,-5.900E+00,8.000E-02
-1.0339E-01,-5.900E+00,2.191E-14
-1.0335E-01,-5.900E+00,8.000E-02
-1.0331E-01,-6.100E+00,8.000E-02
-1.0327E-01,-6.100E+00,8.000E-02
-1.0323E-01,-5.900E+00,1.600E-01
-1.0319E-01,-5.900E+00,8.000E-02
-1.0315E-01,-5.900E+00,1.600E-01
-1.0311E-01,-5.900E+00,8.000E-02
-1.0307E-01,-5.900E+00,8.000E-02
-1.0303E-01,-5.900E+00,8.000E-02
-1.0299E-01,-5.900E+00,1.600E-01
-1.0295E-01,-5.900E+00,1.600E-01
-1.0291E-01,-5.900E+00,2.191E-14
-1.0287E-01,-5.900E+00,8.000E-02
-1.0283E-01,-5.900E+00,8.000E-02
-1.0279E-01,-5.900E+00,8.000E-02
-1.0275E-01,-5.900E+00,8.000E-02
-1.0271E-01,-6.100E+00,8.000E-02
-1.0267E-01,-5.900E+00,8.000E-02
-1.0263E-01,-5.900E+00,1.600E-01
-1.0259E-01,-5.900E+00,8.000E-02
-1.0255E-01,-5.900E+00,1.600E-01
-1.0251E-01,-6.100E+00,8.000E-02
-1.0247E-01,-5.900E+00,8.000E-02
-1.0243E-01,-5.900E+00,8.000E-02
-1.0239E-01,-5.900E+00,1.600E-01
-1.0235E-01,-5.900E+00,2.400E-01
-1.0231E-01,-5.900E+00,2.191E-14
-1.0227E-01,-5.900E+00,2.191E-14
-1.0223E-01,-6.100E+00,1.600E-01
-1.0219E-01,-6.100E+00,2.191E-14
-1.0215E-01,-5.900E+00,8.000E-02
-1.0211E-01,-6.100E+00,1.600E-01
-1.0207E-01,-5.700E+00,8.000E-02
-1.0203E-01,-5.900E+00,1.600E-01
-1.0199E-01,-5.900E+00,8.000E-02
-1.0195E-01,-5.900E+00,8.000E-02
-1.0191E-01,-6.100E+00,8.000E-02
-1.0187E-01,-6.100E+00,1.600E-01
-1.0183E-01,-6.100E+00,8.000E-02
-1.0179E-01,-6.100E+00,8.000E-02
-1.0175E-01,-5.900E+00,2.191E-14
-1.0171E-01,-5.900E+00,8.000E-02
-1.0167E-01,-5.900E+00,2.191E-14
-1.0163E-01,-5.900E+00,8.000E-02
-1.0159E-01,-5.900E+00,2.400E-01
-1.0155E-01,-6.100E+00,2.191E-14
-1.0151E-01,-5.900E+00,8.000E-02
-1.0147E-01,-5.900E+00,8.000E-02
-1.0143E-01,-6.100E+00,8.000E-02
-1.0139E-01,-5.900E+00,1.600E-01
-1.0135E-01,-5.900E+00,8.000E-02
-1.0131E-01,-5.700E+00,2.191E-14
-1.0127E-01,-5.700E+00,1.600E-01
-1.0123E-01,-5.900E+00,2.191E-14
-1.0119E-01,-6.100E+00,8.000E-02
-1.0115E-01,-6.100E+00,8.000E-02
-1.0111E-01,-5.900E+00,1.600E-01
-1.0107E-01,-6.100E+00,2.191E-14
-1.0103E-01,-6.100E+00,8.000E-02
-1.0099E-01,-6.100E+00,1.600E-01
-1.0095E-01,-5.900E+00,8.000E-02
-1.0091E-01,-5.900E+00,8.000E-02
-1.0087E-01,-5.900E+00,2.191E-14
-1.0083E-01,-5.900E+00,1.600E-01
-1.0079E-01,-5.900E+00,1.600E-01
-1.0075E-01,-5.900E+00,8.000E-02
-1.0071E-01,-6.100E+00,8.000E-02
-1.0067E-01,-5.900E+00,8.000E-02
-1.0063E-01,-6.100E+00,8.000E-02
-1.0059E-01,-5.900E+00,8.000E-02
-1.0055E-01,-5.900E+00,2.400E-01
-1.0051E-01,-5.700E+00,1.600E-01
-1.0047E-01,-5.900E+00,8.000E-02
-1.0043E-01,-5.900E+00,1.600E-01
-1.0039E-01,-5.900E+00,1.600E-01
-1.0035E-01,-6.100E+00,8.000E-02
-1.0031E-01,-5.900E+00,2.191E-14
-1.0027E-01,-6.100E+00,8.000E-02
-1.0023E-01,-5.900E+00,1.600E-01
-1.0019E-01,-5.900E+00,8.000E-02
-1.0015E-01,-5.700E+00,8.000E-02
-1.0011E-01,-5.900E+00,2.191E-14
-1.0007E-01,-5.900E+00,1.600E-01
-1.0003E-01,-5.900E+00,2.191E-14
-9.9990E-02,-5.900E+00,8.000E-02
-9.9950E-02,-5.900E+00,1.600E-01
-9.9910E-02,-5.900E+00,2.191E-14
-9.9870E-02,-5.900E+00,8.000E-02
-9.9830E-02,-5.700E+00,2.400E-01
-9.9790E-02,-5.900E+00,1.600E-01
-9.9750E-02,-6.100E+00,1.600E-01
-9.9710E-02,-5.900E+00,1.600E-01
-9.9670E-02,-5.700E+00,1.600E-01
-9.9630E-02,-5.900E+00,1.600E-01
-9.9590E-02,-6.100E+00,2.191E-14
-9.9550E-02,-5.900E+00,1.600E-01
-9.9510E-02,-6.100E+00,8.000E-02
-9.9470E-02,-5.900E+00,1.600E-01
-9.9430E-02,-5.900E+00,2.191E-14
-9.9390E-02,-5.700E+00,1.600E-01
-9.9350E-02,-5.900E+00,8.000E-02
-9.9310E-02,-5.900E+00,8.000E-02
-9.9270E-02,-5.900E+00,2.191E-14
-9.9230E-02,-5.900E+00,2.191E-14
-9.9190E-02,-5.900E+00,1.600E-01
-9.9150E-02,-6.100E+00,2.191E-14
-9.9110E-02,-5.700E+00,2.191E-14
-9.9070E-02,-5.900E+00,2.191E-14
-9.9030E-02,-5.900E+00,8.000E-02
-9.8990E-02,-5.700E+00,8.000E-02
-9.8949E-02,-5.900E+00,8.000E-02
-9.8909E-02,-5.900E+00,1.600E-01
-9.8869E-02,-6.100E+00,8.000E-02
-9.8829E-02,-6.100E+00,8.000E-02
-9.8789E-02,-5.900E+00,-8.000E-02
-9.8749E-02,-5.900E+00,8.000E-02
-9.8709E-02,-5.700E+00,1.600E-01
-9.8669E-02,-5.900E+00,8.000E-02
-9.8629E-02,-5.900E+00,8.000E-02
-9.8589E-02,-5.700E+00,2.191E-14
-9.8549E-02,-6.100E+00,8.000E-02
-9.8509E-02,-6.100E+00,2.191E-14
-9.8469E-02,-5.900E+00,1.600E-01
-9.8429E-02,-5.900E+00,8.000E-02
-9.8389E-02,-5.900E+00,2.191E-14
-9.8349E-02,-5.700E+00,8.000E-02
-9.8309E-02,-5.900E+00,2.191E-14
-9.8269E-02,-6.100E+00,8.000E-02
-9.8229E-02,-5.900E+00,8.000E-02
-9.8189E-02,-6.100E+00,8.000E-02
-9.8149E-02,-6.100E+00,8.000E-02
-9.8109E-02,-5.900E+00,2.191E-14
-9.8069E-02,-5.900E+00,8.000E-02
-9.8029E-02,-5.900E+00,1.600E-01
-9.7989E-02,-5.700E+00,8.000E-02
-9.7949E-02,-5.900E+00,1.600E-01
-9.7909E-02,-5.900E+00,8.000E-02
-9.7869E-02,-5.900E+00,8.000E-02
-9.7829E-02,-5.900E+00,8.000E-02
-9.7789E-02,-5.900E+00,8.000E-02
-9.7749E-02,-6.100E+00,3.200E-01
-9.7709E-02,-5.900E+00,8.000E-02
-9.7669E-02,-6.100E+00,1.600E-01
-9.7629E-02,-5.900E+00,1.600E-01
-9.7589E-02,-5.700E+00,1.600E-01
-9.7549E-02,-5.900E+00,8.000E-02
-9.7509E-02,-5.700E+00,2.191E-14
-9.7469E-02,-6.100E+00,1.600E-01
-9.7429E-02,-5.900E+00,8.000E-02
-9.7389E-02,-5.900E+00,8.000E-02
-9.7349E-02,-6.100E+00,8.000E-02
-9.7309E-02,-6.100E+00,2.191E-14
-9.7269E-02,-5.900E+00,1.600E-01
-9.7229E-02,-5.700E+00,8.000E-02
-9.7189E-02,-5.900E+00,8.000E-02
-9.7149E-02,-5.700E+00,8.000E-02
-9.7109E-02,-5.900E+00,2.191E-14
-9.7069E-02,-6.100E+00,1.600E-01
-9.7029E-02,-5.900E+00,2.191E-14
-9.6989E-02,-5.900E+00,2.191E-14
-9.6948E-02,-6.100E+00,1.600E-01
-9.6908E-02,-5.700E+00,1.600E-01
-9.6868E-02,-5.900E+00,8.000E-02
